LISTA DE ARTICULOS Nº 195 VIGENCIA 13/03/2024,,,
,RESORTES AUTOMOTOR,PRECIO UNIT,
E082541,SUP. ACERO  25 X 41 X 0.8,1163.683,
E082634,SUP. ACERO  26 X 34 X 0.8,1024.316,
E082642,SUP. ACERO  26 X 42 X 0.8,1163.683,
E082735,SUP. ACERO  27 X 35 X 0.8,1093.999,
E082743,SUP. ACERO  27 X 43 X 0.8,1233.366,
E082836,SUP. ACERO  28 X 36 X 0.8,1093.999,
E082844,SUP. ACERO  28 X 44 X 0.8,1233.366,
E082937,SUP. ACERO  29 X 37 X 0.8,1093.999,
E082945,SUP. ACERO  29 X 45 X 0.8,1233.366,
E083038,SUP. ACERO  30 X 38 X 0.8,1093.999,
E083046,SUP. ACERO  30 X 46 X 0.8,1233.366,
E083139,SUP. ACERO  31 X 39 X 0.8,1163.683,
E083147,SUP. ACERO  31 X 47 X 0.8,1233.366,
E083240,SUP. ACERO  32 X 40 X 0.8,1163.683,
E083248,SUP. ACERO  32 X 48 X 0.8,1303.049,
E083341,SUP. ACERO  33 X 41 X 0.8,1163.683,
E083349,SUP. ACERO  33 X 49 X 0.8,1303.049,
E083442,SUP. ACERO  34 X 42 X 0.8,1163.683,
E083450,SUP. ACERO  34 X 50 X 0.8,1303.049,
E083543,SUP. ACERO  35 X 43 X 0.8,1233.366,
E083551,SUP. ACERO  35 X 51 X 0.8,1372.733,
E083644,SUP. ACERO  36 X 44 X 0.8,1233.366,
E083652,SUP. ACERO  36 X 52 X 0.8,1372.733,
E083745,SUP. ACERO  37 X 45 X 0.8,1233.366,
E083753,SUP. ACERO  37 X 53 X 0.8,1372.733,
E083846,SUP. ACERO  38 X 46 X 0.8,1233.366,
E083854,SUP. ACERO  38 X 54 X 0.8,1442.416,
E083947,SUP. ACERO  39 X 47 X 0.8,1233.366,
E083955,SUP. ACERO  39 X 55 X 0.8,1442.416,
E084048,SUP. ACERO  40 X 48 X 0.8,1303.049,
E084056,SUP. ACERO  40 X 56 X 0.8,1442.416,
E084149,SUP. ACERO  41 X 49 X 0.8,1303.049,
E084157,SUP. ACERO  41 X 57 X 0.8,1581.783,
E084250,SUP. ACERO  42 X 50 X 0.8,1303.049,
E084258,SUP. ACERO  42 X 58 X 0.8,1581.783,
E084359,SUP. ACERO  43 X 59 X 0.8,1721.149,
E084460,SUP. ACERO  44 X 60 X 0.8,1721.149,
E084561,SUP. ACERO  45 X 61 X 0.8,1721.149,
E084658,SUP. ACERO  46 X 58 X 0.8,1581.783,
E084759,SUP. ACERO  47 X 59 X 0.8,1721.149,
E084860,SUP. ACERO  48 X 60 X 0.8,1721.149,
E084961,SUP. ACERO  49 X 61 X 0.8,1721.149,
E085062,SUP. ACERO  50 X 62 X 0.8,1790.833,
E085163,SUP. ACERO  51 X 63 X 0.8,1790.833,
E085264,SUP. ACERO  52 X 64 X 0.8,1790.833,
E085365,SUP. ACERO  53 X 65 X 0.8,1790.833,
E085466,SUP. ACERO  54 X 66 X 0.8,1930.199,
E085567,SUP. ACERO  55 X 67 X 0.8,1930.199,
E085668,SUP. ACERO  56 X 68 X 0.8,1999.883,
E085769,SUP. ACERO  57 X 69 X 0.8,1999.883,
E085870,SUP. ACERO  58 X 70 X 0.8,2278.616,
E085971,SUP. ACERO  59 X 71 X 0.8,2278.616,
E086072,SUP. ACERO  60 X 72 X 0.8,2278.616,
E086173,SUP. ACERO  61 X 73 X 0.8,2278.616,
,,,
,"SET SUPLEMENTOS DE ACERO 0,8 MM",PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
SET212,"TABLERO 21000. CON 25  DE C/U. ESPESOR 0,80 M.",221244.568,
SET213,"TABLERO 21300. CON 25  DE C/U. ESPESOR 0,80 M.",426827.460,
SET214,"TABLERO 21400. CON 25  DE C/U. ESPESOR 0,80 M.",458186.212,
SET220,"TABLERO 22000. CON 25  DE C/U. ESPESOR 0,80 M.",517419.411,
SET221,"TABLERO 22100. CON 25  DE C/U. ESPESOR 0,80 M.",559231.080,
SET225,"TABLERO 22500. CON 25  DE C/U. ESPESOR 0,80 M.",752610.052,
,,,
,ENTRERROSCAS,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
ENT260,"ENTRERROSCA 1/8"" GAS",3923.689,
ENT261,"ENTRERROSCA 1/4"" GAS",5664.758,
ENT262,"ENTRERROSCA 3/8"" GAS",8980.009,
ENT263,"ENTRERROSCA 1/2"" GAS",14810.512,
ENT264,"ENTRERROSCA 3/4"" GAS",28715.962,
ENT265,"ENTRERROSCA 1"" GAS",56457.466,
,,,
,ESPINAS CONICAS.,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
EC000 X 3/4,ESPINA CONICA  1/8   Nº 000 X 3/4,12044.165,
EC000X1,ESPINA CONICA  1/8   Nº 000 X 1,12044.165,
EC000X11/4,ESPINA CONICA  1/8   Nº 000 x 1'1/4,13710.684,
EC000X11/2,ESPINA CONICA  1/8   Nº 000 x 1'1/2,15361.647,
EC000X13/4,ESPINA CONICA  1/8   Nº 000 x 1'3/4,16993.943,
EC000X2,ESPINA CONICA  1/8   Nº 000 x 2,18693.647,
,,,
EC00X3/4,ESPINA CONICA  9/64  Nº  00 x 3/4,11474.832,
EC00X1,ESPINA CONICA  9/64  Nº  00 x 1',11713.351,
EC00X11/4,ESPINA CONICA  9/64  Nº  00 x 1'1/4,13308.314,
EC00X11/2,ESPINA CONICA  9/64  Nº  00 x 1'1/2,14902.239,
EC00X13/4,ESPINA CONICA  9/64  Nº  00 x 1'3/4,16524.165,
EC00X2,ESPINA CONICA  9/64  Nº  00 x 2,18103.573,
,,,
EC0X1,ESPINA CONICA  5/32  Nº   0 x 1,11370.091,
EC0X11/4,ESPINA CONICA  5/32  Nº   0 x 1'1/4,12948.462,
EC0X11/2,ESPINA CONICA  5/32  Nº   0 x 1'1/2,14472.906,
EC0X13/4,ESPINA CONICA  5/32  Nº   0 x 1'3/4,15991.128,
EC0X2,ESPINA CONICA  5/32  Nº   0 x 2,17568.462,
,,,
EC1X1,ESPINA CONICA  11/64 Nº  1 x 1,11040.314,
EC1X11/4,ESPINA CONICA  11/64 Nº  1 x 1'1/4,12551.277,
EC1X11/2,ESPINA CONICA  11/64 Nº  1 x 1'1/2,14053.943,
EC1X13/4,ESPINA CONICA  11/64 Nº  1 x 1'3/4,15548.314,
EC1X2,ESPINA CONICA  11/64 Nº  1 x 2,17055.128,
EC1X21/4,ESPINA CONICA  11/64 Nº  1 x 2'1/4,18775.573,
EC1X21/2,ESPINA CONICA  11/64 Nº  1 x 2'1/2,21000.017,
,,,
EC2X1,ESPINA CONICA   3/16  Nº  2 x 1,10724.763,
EC2X11/4,ESPINA CONICA   3/16  Nº  2 x 1'1/4,12193.207,
EC2X11/2,ESPINA CONICA   3/16  Nº  2 x 1'1/2,13637.800,
EC2X13/4,ESPINA CONICA   3/16  Nº  2 x 1'3/4,15110.393,
EC2X2,ESPINA CONICA   3/16  Nº  2 x 2,16562.244,
EC2X21/4,ESPINA CONICA   3/16  Nº  2 x 2'1/4,18780.467,
EC2X21/2,ESPINA CONICA   3/16  Nº  2 x 2'1/2,21004.911,
EC2X23/4,ESPINA CONICA   3/16  Nº  2 x 2'3/4,23240.763,
EC2X3,ESPINA CONICA   3/16  Nº  2 x 3,25458.985,
,,,
EC3X1,ESPINA CONICA   7/32  Nº  3 x 1,12424.467,
EC3X11/4,ESPINA CONICA   7/32  Nº  3 x 1'1/4,13543.430,
EC3X11/2,ESPINA CONICA   7/32  Nº  3 x 1'1/2,14659.281,
EC3X13/4,ESPINA CONICA   7/32  Nº  3 x 1'3/4,15785.504,
EC3X2,ESPINA CONICA   7/32  Nº  3 x 2,16887.874,
EC3X21/4,ESPINA CONICA   7/32  Nº   3 x 2'1/4,18307.578,
EC3X21/2,ESPINA CONICA   7/32  Nº   3 x 2'1/2,19703.430,
EC3X23/4,ESPINA CONICA   7/32  Nº   3 X 2'3/4,21103.430,
EC3X3,ESPINA CONICA   7/32  Nº   3 x 3,22489.948,
EC3X31/4,ESPINA CONICA   7/32  Nº   3 x 3'1/4,24300.615,
EC3X31/2,ESPINA CONICA   7/32  Nº   3 x 3'1/2,26203.578,
,,,
EC4X1,ESPINA CONICA     1/4  Nº   4 x 1,15034.689,
EC4X11/4,ESPINA CONICA     1/4  Nº   4 x 1'1/4,15932.763,
EC4X11/2,ESPINA CONICA     1/4  Nº   4 x 1'1/2,16656.615,
EC4X13/4,ESPINA CONICA     1/4  Nº   4 x 1'3/4,17733.059,
EC4X2,ESPINA CONICA     1/4  Nº   4 x 2,19068.763,
EC4X21/4,ESPINA CONICA     1/4  Nº   4 x 2'1/4,20431.430,
EC4X21/2,ESPINA CONICA     1/4  Nº   4 x 2'1/2,21811.726,
EC4X23/4,ESPINA CONICA     1/4  Nº   4 x 2'3/4,23134.985,
EC4X3,ESPINA CONICA     1/4  Nº   4 x 3,24498.689,
EC4X31/4,ESPINA CONICA     1/4  Nº   4 x 3'1/4,25850.985,
EC4X31/2,ESPINA CONICA     1/4  Nº   4 x 3'1/2,27197.059,
EC4X33/4,ESPINA CONICA     1/4  Nº   4 x 3'3/4,28532.763,
EC4X4,ESPINA CONICA     1/4  Nº   4 x 4,29891.281,
EC4X41/2,ESPINA CONICA     1/4  Nº   4 x 4 1/2,31385.652,
,,,
EC5X1,ESPINA CONICA  19/64  Nº   5 x 1,19658.837,
EC5X11/4,ESPINA CONICA  19/64  Nº   5 x 1 '1/4,21514.096,
EC5X11/2,ESPINA CONICA  19/64  Nº   5 X 1 1/2,23334.096,
EC5X13/4,ESPINA CONICA  19/64  Nº   5 x 1'3/4,25172.763,
EC5X2,ESPINA CONICA  19/64  Nº   5 x 2,26992.763,
EC5X21/4,ESPINA CONICA  19/64  Nº   5 x 2'1/4,28813.800,
EC5X21/2,ESPINA CONICA  19/64  Nº   5 x 2'1/2,30656.615,
EC5X23/4,ESPINA CONICA  19/64  Nº   5 x 2'3/4,32490.096,
EC5X3,ESPINA CONICA  19/64  Nº   5 x 3,34299.726,
EC5X31/4,ESPINA CONICA  19/64  Nº   5 x 3'1/4,36153.948,
EC5X31/2,ESPINA CONICA  19/64  Nº   5 x 3'1/2,38007.133,
EC5X33/4,ESPINA CONICA  19/64  Nº   5 x 3'3/4,39801.207,
EC5X4,ESPINA CONICA  19/64  Nº   5 x 4,67415.430,
EC5X41/2,ESPINA CONICA  19/64  Nº   5 x 4'1/2,71063.726,
,,,
EC6X11/4,ESPINA CONICA  11/32  Nº   6 x 1'1/4,23913.800,
EC6X11/2,ESPINA CONICA  11/32  Nº   6 x 1'1/2,26203.578,
EC6X13/4,ESPINA CONICA  11/32  Nº   6 x 1'3/4,28472.615,
EC6X2,ESPINA CONICA  11/32  Nº   6 x 2,30785.207,
EC6X21/4,ESPINA CONICA  11/32  Nº   6 x 2'1/4,33080.170,
EC6X21/2,ESPINA CONICA  11/32  Nº   6 x 2'1/2,35348.170,
EC6X23/4,ESPINA CONICA  11/32  Nº   6 x 23/4,37649.355,
EC6X3,ESPINA CONICA  11/32  Nº   6 x 3,39943.281,
EC6X31/4,ESPINA CONICA  11/32  Nº   6 x 3'1/4,42239.281,
EC6X31/2,ESPINA CONICA  11/32  Nº   6 x 3 '1/2,44524.911,
EC6X33/4,ESPINA CONICA  11/32  Nº   6 x 3'3/4,46808.467,
EC6X4,ESPINA CONICA  11/32  Nº   6 x 4,69242.689,
EC6X41/4,ESPINA CONICA  11/32  Nº   6 x 4'1/4,71213.059,
EC6X41/2,ESPINA CONICA  11/32  Nº   6 x 4'1/2,73160.615,
EC6X43/4,ESPINA CONICA  11/32  Nº   6 x 4'3/4,75119.578,
EC6X5,ESPINA CONICA  11/32  Nº   6 x 5,77069.207,
,,,
EC7X2,ESPINA CONICA  13/32  Nº   7 x 2,64746.122,
EC7X21/4,ESPINA CONICA  13/32  Nº   7 x 2'1/4,67968.196,
EC7X21/2,ESPINA CONICA  13/32  Nº   7 x 2'1/2,71214.122,
EC7X23/4,ESPINA CONICA  13/32  Nº   7 x 2'3/4,74424.789,
EC7X3,ESPINA CONICA  13/32  Nº   7 x 3,77668.641,
EC7X31/4,ESPINA CONICA  13/32  Nº   7 x 3'1/4,80933.233,
EC7X31/2,ESPINA CONICA  13/32  Nº   7 x 3'1/2,84170.863,
EC7X33/4,ESPINA CONICA  13/32  Nº   7 x 3'3/4,87410.567,
EC7X4,ESPINA CONICA  13/32  Nº   7 x 4,90637.826,
EC7X41/4,ESPINA CONICA  13/32  Nº   7 x 4'1/4,93871.307,
EC7X41/2,ESPINA CONICA  13/32  Nº   7 x 4'1/2,97105.826,
EC7X5,ESPINA CONICA  13/32  Nº   7 x 5,103573.826,
,,,
EC8X2,ESPINA CONICA      1/2  Nº   8x 2,75760.492,
EC8X21/2,ESPINA CONICA      1/2  Nº   8 x 2'1/2,83900.196,
EC8X23/4,ESPINA CONICA      1/2 Nº    8 x 2'3/4,87968.492,
EC8X3,ESPINA CONICA      1/2 Nº    8 x 3,92029.529,
EC8X31/4,ESPINA CONICA      1/2 Nº    8 x 3'1/4,96118.567,
EC8X31/2,ESPINA CONICA      1/2 Nº    8 x 3'1/2,100185.826,
EC8X33/4,ESPINA CONICA      1/2 Nº    8 x 3'3/4,104258.270,
EC8X4,ESPINA CONICA      1/2 Nº    8 x 4,108335.900,
EC8X41/4,ESPINA CONICA      1/2 Nº    8 x 4'1/4,112386.567,
EC8X41/2,ESPINA CONICA      1/2 Nº    8 x 4'1/2,116493.233,
EC8X43/4,ESPINA CONICA      1/2 Nº    8 x 4'3/4,120536.641,
EC8X5,ESPINA CONICA      1/2 Nº    8 x 5,124604.937,
,,,
SETEC1,SURTIDO ESPINAS CONICAS 10 C/U (15 MEDIDAS),3909910.214,
SETEC2,SURTIDO ESPINAS CONICAS 5 C/U (15 MEDIDAS),1987704.077,
,,,
,ESPINAS ELASTICAS.,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
ESP158,ESP. ELASTICA  1.5 X  8 DIN 1481,68.196,
ESP1510,ESP. ELASTICA  1.5 X 10 DIN 1481,72.463,
ESP1512,ESP. ELASTICA  1.5 X 12 DIN 1481,78.445,
ESP1514,ESP. ELASTICA  1.5 X 14 DIN 1481,87.825,
ESP1516,ESP. ELASTICA  1.5 X 16 DIN 1481,92.884,
ESP1518,ESP. ELASTICA  1.5 X 18 DIN 1481,102.574,
ESP1520,ESP. ELASTICA  1.5 X 20 DIN 1481,107.680,
ESP1538,"ESP. ELASTICA  1.58 X 38,1 ",164.298,
,,,
ESP28,ESP. ELASTICA    2 X  8 DIN 1481,52.154,
ESP210,ESP. ELASTICA    2 X 10 DIN 1481,63.211,
ESP212,ESP. ELASTICA    2 X 12 DIN 1481,74.990,
ESP214,ESP. ELASTICA    2 X 14 DIN 1481,86.780,
ESP216,ESP. ELASTICA    2 X 16 DIN 1481,98.565,
ESP218,ESP. ELASTICA    2 X 18 DIN 1481,110.344,
ESP220,ESP. ELASTICA    2 X 20 DIN 1481,122.131,
ESP222,ESP. ELASTICA    2 X 22 DIN 1481,133.918,
ESP224,ESP. ELASTICA    2 X 24 DIN 1481,145.710,
ESP226,ESP. ELASTICA    2 X 26 DIN 1481,157.489,
ESP228,ESP. ELASTICA    2 X 28 DIN 1481,169.274,
ESP230,ESP. ELASTICA    2 X 30 DIN 1481,181.061,
,,,
ESP258,ESP. ELASTICA  2.5 X  8 DIN 1481,74.775,
ESP2510,ESP. ELASTICA  2.5 X 10 DIN 1481,89.188,
ESP2512,ESP. ELASTICA  2.5 X 12 DIN 1481,100.324,
ESP2514,ESP. ELASTICA  2.5 X 14 DIN 1481,116.649,
ESP2516,ESP. ELASTICA  2.5 X 16 DIN 1481,132.726,
ESP2518,ESP. ELASTICA  2.5 X 18 DIN 1481,148.808,
ESP2520,ESP. ELASTICA  2.5 X 20 DIN 1481,164.876,
ESP2522,ESP. ELASTICA  2.5 X 22 DIN 1481,180.942,
ESP2524,ESP. ELASTICA  2.5 X 24 DIN 1481,196.948,
ESP2526,ESP. ELASTICA  2.5 X 26 DIN 1481,213.035,
ESP2528,ESP. ELASTICA  2.5 X 28 DIN 1481,229.097,
ESP2530,ESP. ELASTICA  2.5 X 30 DIN 1481,245.167,
ESP2532,ESP. ELASTICA  2.5 X 32 DIN 1481,477.874,
,,,
ESP38,ESP. ELASTICA    3 X  8 DIN 1481,99.902,
ESP310,ESP. ELASTICA    3 X 10 DIN 1481,112.622,
ESP312,ESP. ELASTICA    3 X 12 DIN 1481,128.664,
ESP314,ESP. ELASTICA    3 X 14 DIN 1481,149.353,
ESP316,ESP. ELASTICA    3 X 16 DIN 1481,170.117,
ESP318,ESP. ELASTICA    3 X 18 DIN 1481,190.900,
ESP320,ESP. ELASTICA    3 X 20 DIN 1481,211.591,
ESP322,ESP. ELASTICA    3 X 22 DIN 1481,232.868,
ESP324,ESP. ELASTICA    3 X 24 DIN 1481,253.548,
ESP326,ESP. ELASTICA    3 X 26 DIN 1481,274.332,
ESP328,ESP. ELASTICA    3 X 28 DIN 1481,295.011,
ESP330,ESP. ELASTICA    3 X 30 DIN 1481,315.785,
ESP332,ESP. ELASTICA    3 X 32 DIN 1481,336.543,
ESP334,ESP. ELASTICA    3 X 34 DIN 1481,357.236,
ESP336,ESP. ELASTICA    3 X 36 DIN 1481,378.007,
ESP338,ESP. ELASTICA    3 X 38 DIN 1481,398.707,
ESP340,ESP. ELASTICA    3 X 40 DIN 1481,419.469,
ESP345,ESP. ELASTICA    3 X 45 DIN 1481,471.264,
ESP350,ESP. ELASTICA    3 X 50 DIN 1481,523.169,
,,,
ESP358,ESP. ELASTICA  3.5 X  8 DIN 1481,148.798,
ESP3510,ESP. ELASTICA  3.5 X 10 DIN 1481,167.046,
ESP3512,ESP. ELASTICA  3.5 X 12 DIN 1481,184.446,
ESP3514,ESP. ELASTICA  3.5 X 14 DIN 1481,205.812,
ESP3516,ESP. ELASTICA  3.5 X 16 DIN 1481,224.307,
ESP3518,ESP. ELASTICA  3.5 X 18 DIN 1481,252.456,
ESP3520,ESP. ELASTICA  3.5 X 20 DIN 1481,280.012,
ESP3522,ESP. ELASTICA  3.5 X 22 DIN 1481,307.488,
ESP3524,ESP. ELASTICA  3.5 X 24 DIN 1481,335.051,
ESP3526,ESP. ELASTICA  3.5 X 26 DIN 1481,362.610,
ESP3528,ESP. ELASTICA  3.5 X 28 DIN 1481,390.078,
ESP3530,ESP. ELASTICA  3.5 X 30 DIN 1481,417.627,
ESP3532,ESP. ELASTICA  3.5 X 32 DIN 1481,445.099,
ESP3534,ESP. ELASTICA  3.5 X 34 DIN 1481,472.661,
ESP3536,ESP. ELASTICA  3.5 X 36 DIN 1481,500.214,
ESP3538,ESP. ELASTICA  3.5 X 38 DIN 1481,527.690,
ESP3540,ESP. ELASTICA  3.5 X 40 DIN 1481,555.257,
ESP3545,ESP. ELASTICA  3.5 X 45 DIN 1481,624.064,
ESP3550,ESP. ELASTICA  3.5 X 50 DIN 1481,692.863,
ESP3555,ESP. ELASTICA  3.5 X 55 DIN 1481,761.682,
ESP3560,ESP. ELASTICA  3.5 X 60 DIN 1481,830.491,
,,,
ESP48,ESP. ELASTICA    4 X  8 DIN 1481,167.416,
ESP410,ESP. ELASTICA    4 X 10 DIN 1481,190.497,
ESP412,ESP. ELASTICA    4 X 12 DIN 1481,213.546,
ESP414,ESP. ELASTICA    4 X 14 DIN 1481,236.643,
ESP416,ESP. ELASTICA    4 X 16 DIN 1481,262.755,
ESP418,ESP. ELASTICA    4 X 18 DIN 1481,294.997,
ESP420,ESP. ELASTICA    4 X 20 DIN 1481,327.247,
ESP422,ESP. ELASTICA    4 X 22 DIN 1481,359.491,
ESP424,ESP. ELASTICA    4 X 24 DIN 1481,375.579,
ESP426,ESP. ELASTICA    4 X 26 DIN 1481,423.986,
ESP428,ESP. ELASTICA    4 X 28 DIN 1481,456.236,
ESP430,ESP. ELASTICA    4 X 30 DIN 1481,488.482,
ESP432,ESP. ELASTICA    4 X 32 DIN 1481,520.723,
ESP434,ESP. ELASTICA    4 X 34 DIN 1481,552.980,
ESP436,ESP. ELASTICA    4 X 36 DIN 1481,585.220,
ESP438,ESP. ELASTICA    4 X 38 DIN 1481,617.460,
ESP440,ESP. ELASTICA    4 X 40 DIN 1481,649.701,
ESP445,ESP. ELASTICA    4 X 45 DIN 1481,730.282,
ESP450,ESP. ELASTICA    4 X 50 DIN 1481,810.936,
ESP455,ESP. ELASTICA    4 X 55 DIN 1481,891.525,
ESP460,ESP. ELASTICA    4 X 60 DIN 1481,1369.044,
ESP465,ESP. ELASTICA    4 X 65 DIN 1481,1470.377,
ESP470,ESP. ELASTICA    4 X 70 DIN 1481,1555.711,
,,,
ESP4510,ESP. ELASTICA  4.5 X 10 DIN 1481,325.193,
ESP4512,ESP. ELASTICA  4.5 X 12 DIN 1481,351.725,
ESP4514,ESP. ELASTICA  4.5 X 14 DIN 1481,378.281,
ESP4516,ESP. ELASTICA  4.5 X 16 DIN 1481,404.816,
ESP4518,ESP. ELASTICA  4.5 X 18 DIN 1481,431.954,
ESP4520,ESP. ELASTICA  4.5 X 20 DIN 1481,458.567,
ESP4522,ESP. ELASTICA  4.5 X 22 DIN 1481,484.047,
ESP4524,ESP. ELASTICA  4.5 X 24 DIN 1481,510.576,
ESP4526,ESP. ELASTICA  4.5 X 26 DIN 1481,537.095,
ESP4528,ESP. ELASTICA  4.5 X 28 DIN 1481,563.680,
ESP4530,ESP. ELASTICA  4.5 X 30 DIN 1481,590.349,
ESP4532,ESP. ELASTICA  4.5 X 32 DIN 1481,616.793,
ESP4534,ESP. ELASTICA  4.5 X 34 DIN 1481,643.375,
ESP4536,ESP. ELASTICA  4.5 X 36 DIN 1481,670.422,
ESP4538,ESP. ELASTICA  4.5 X 38 DIN 1481,706.076,
ESP4540,ESP. ELASTICA  4.5 X 40 DIN 1481,743.039,
ESP4545,ESP. ELASTICA  4.5 X 45 DIN 1481,835.255,
ESP4550,ESP. ELASTICA  4.5 X 50 DIN 1481,927.547,
ESP4555,ESP. ELASTICA  4.5 X 55 DIN 1481,1019.861,
ESP4560,ESP. ELASTICA  4.5 X 60 DIN 1481,1112.068,
ESP4565,ESP. ELASTICA  4.5 X 65 DIN 1481,1204.392,
ESP4570,ESP. ELASTICA  4.5 X 70 DIN 1481,1296.686,
ESP4575,ESP. ELASTICA  4.5 X 75 DIN 1481,1388.900,
,,,
ESP510,ESP. ELASTICA    5 X 10 DIN 1481,300.711,
ESP512,ESP. ELASTICA    5 X 12 DIN 1481,329.213,
ESP514,ESP. ELASTICA    5 X 14 DIN 1481,356.537,
ESP516,ESP. ELASTICA    5 X 16 DIN 1481,385.068,
ESP518,ESP. ELASTICA    5 X 18 DIN 1481,412.363,
ESP520,ESP. ELASTICA    5 X 20 DIN 1481,431.030,
ESP522,ESP. ELASTICA    5 X 22 DIN 1481,473.646,
ESP524,ESP. ELASTICA    5 X 24 DIN 1481,516.351,
ESP526,ESP. ELASTICA    5 X 26 DIN 1481,558.961,
ESP528,ESP. ELASTICA    5 X 28 DIN 1481,601.579,
ESP530,ESP. ELASTICA    5 X 30 DIN 1481,644.199,
ESP532,ESP. ELASTICA    5 X 32 DIN 1481,686.813,
ESP534,ESP. ELASTICA    5 X 34 DIN 1481,729.440,
ESP536,ESP. ELASTICA    5 X 36 DIN 1481,772.045,
ESP538,ESP. ELASTICA    5 X 38 DIN 1481,814.665,
ESP540,ESP. ELASTICA    5 X 40 DIN 1481,857.368,
ESP545,ESP. ELASTICA    5 X 45 DIN 1481,963.864,
ESP550,ESP. ELASTICA    5 X 50 DIN 1481,1070.434,
ESP555,ESP. ELASTICA    5 X 55 DIN 1481,1177.019,
ESP560,ESP. ELASTICA    5 X 60 DIN 1481,1283.618,
ESP565,ESP. ELASTICA    5 X 65 DIN 1481,1390.192,
ESP570,ESP. ELASTICA    5 X 70 DIN 1481,1496.701,
ESP575,ESP. ELASTICA    5 X 75 DIN 1481,1603.279,
ESP580,ESP. ELASTICA    5 X 80 DIN 1481,1709.858,
ESP590,ESP. ELASTICA    5 X 90 DIN 1481,2640.511,
,,,
ESP5520,"ESP.ELASTICA SAE 496 DE 5,56 X 20,63",512.589,
ESP5540,"ESP.ELASTICA SAE 496 DE 5,56 X 41,27",937.231,
ESP5550,"ESP.ELASTICA SAE 496 DE 5,56 X 50,8",1148.185,
ESP5560,"ESP.ELASTICA SAE 496 DE 5,56 X 63,5",1410.472,
ESP5575,"ESP.ELASTICA SAE 496 DE 5,56 X 74.98",1671.507,
ESP635X45,"ESP.ELASTICA SAE 496 DE 6,35 X 44,5",1138.848,
,,,
ESP614,ESP. ELASTICA    6 X 14 DIN 1481,680.297,
ESP616,ESP. ELASTICA    6 X 16 DIN 1481,761.402,
ESP618,ESP. ELASTICA    6 X 18 DIN 1481,780.116,
ESP620,ESP. ELASTICA    6 X 20 DIN 1481,843.050,
ESP622,ESP. ELASTICA    6 X 22 DIN 1481,895.316,
ESP624,ESP. ELASTICA    6 X 24 DIN 1481,959.316,
ESP626,ESP. ELASTICA    6 X 26 DIN 1481,1017.983,
ESP628,ESP. ELASTICA    6 X 28 DIN 1481,1079.850,
ESP630,ESP. ELASTICA    6 X 30 DIN 1481,1132.116,
ESP632,ESP. ELASTICA    6 X 32 DIN 1481,1197.183,
ESP634,ESP. ELASTICA    6 X 34 DIN 1481,1253.716,
ESP636,ESP. ELASTICA    6 X 36 DIN 1481,1333.716,
ESP638,ESP. ELASTICA    6 X 38 DIN 1481,1404.116,
ESP640,ESP. ELASTICA    6 X 40 DIN 1481,1484.116,
ESP645,ESP. ELASTICA    6 X 45 DIN 1481,1662.250,
ESP650,ESP. ELASTICA    6 X 50 DIN 1481,1842.516,
ESP655,ESP. ELASTICA    6 X 55 DIN 1481,2029.183,
ESP660,ESP. ELASTICA    6 X 60 DIN 1481,2208.383,
ESP665,ESP. ELASTICA    6 X 65 DIN 1481,2396.116,
ESP670,ESP. ELASTICA    6 X 70 DIN 1481,2581.716,
ESP675,ESP. ELASTICA    6 X 75 DIN 1481,2760.916,
ESP680,ESP. ELASTICA    6 X 80 DIN 1481,2940.116,
ESP685,ESP. ELASTICA    6 X 85 DIN 1481,3566.126,
ESP690,ESP. ELASTICA    6 X 90 DIN 1481,3783.567,
ESP6100,ESP. ELASTICA    6 X 100 DIN 1481,4189.167,
,,,
ESP716,ESP. ELASTICA    7 X 16 DIN 1481,1040.203,
ESP718,ESP. ELASTICA    7 X 18 DIN 1481,1152.014,
ESP720,ESP. ELASTICA    7 X 20 DIN 1481,1263.826,
ESP722,ESP. ELASTICA    7 X 22 DIN 1481,1375.638,
ESP724,ESP. ELASTICA    7 X 24 DIN 1481,1487.450,
ESP726,ESP. ELASTICA    7 X 26 DIN 1481,1599.261,
ESP728,ESP. ELASTICA    7 X 28 DIN 1481,1711.073,
ESP730,ESP. ELASTICA    7 X 30 DIN 1481,1822.885,
ESP732,ESP. ELASTICA    7 X 32 DIN 1481,2290.548,
ESP734,ESP. ELASTICA    7 X 34 DIN 1481,2374.814,
ESP736,ESP. ELASTICA    7 X 36 DIN 1481,2158.320,
ESP738,ESP. ELASTICA    7 X 38 DIN 1481,2270.132,
ESP740,ESP. ELASTICA    7 X 40 DIN 1481,2381.944,
ESP745,ESP. ELASTICA    7 X 45 DIN 1481,2676.463,
ESP750,ESP. ELASTICA    7 X 50 DIN 1481,2991.399,
ESP755,ESP. ELASTICA    7 X 55 DIN 1481,3258.412,
ESP760,ESP. ELASTICA    7 X 60 DIN 1481,3525.413,
ESP765,ESP. ELASTICA    7 X 65 DIN 1481,3810.637,
ESP770,ESP. ELASTICA    7 X 70 DIN 1481,4084.309,
ESP775,ESP. ELASTICA    7 X 75 DIN 1481,4358.236,
